index,genome,identifier,file,clip,scale,sum_stat,description,assay
0,0,ENCFF833POA,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIJ/summary/coverage.w5,32,2,mean,DNASE:cerebellum male adult (27 years) and male adult (35 years),DNASE
1,0,ENCFF110QGM,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIK/summary/coverage.w5,32,2,mean,DNASE:frontal cortex male adult (27 years) and male adult (35 years),DNASE
2,0,ENCFF880MKD,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIL/summary/coverage.w5,32,2,mean,DNASE:chorion,DNASE
3,0,ENCFF463ZLQ,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIP/summary/coverage.w5,32,2,mean,DNASE:Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour,DNASE
4,0,ENCFF890OGQ,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIS/summary/coverage.w5,32,2,mean,DNASE:GM03348,DNASE
5,0,ENCFF996AEF,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIT/summary/coverage.w5,32,2,mean,DNASE:GM03348 genetically modified using transduction treated with 3 ug/mL doxycycline for 10 days,DNASE
6,0,ENCFF660YSU,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIV/summary/coverage.w5,32,2,mean,DNASE:AG08395,DNASE
7,0,ENCFF787MSC,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIW/summary/coverage.w5,32,2,mean,DNASE:AG08396,DNASE
8,0,ENCFF568LMQ,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIX/summary/coverage.w5,32,2,mean,DNASE:AG20443,DNASE
9,0,ENCFF685MZL,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EIY/summary/coverage.w5,32,2,mean,DNASE:frontal cortex female adult (67 years) and female adult (80 years),DNASE
10,0,ENCFF452DLO,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJA/summary/coverage.w5,32,2,mean,DNASE:H54,DNASE
11,0,ENCFF149TAY,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJB/summary/coverage.w5,32,2,mean,DNASE:GM10248,DNASE
12,0,ENCFF093VXI,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJD/summary/coverage.w5,32,2,mean,DNASE:GM12878,DNASE
13,0,ENCFF713YTW,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJE/summary/coverage.w5,32,2,mean,DNASE:GM12891,DNASE
14,0,ENCFF536IEC,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJF/summary/coverage.w5,32,2,mean,DNASE:GM12892,DNASE
15,0,ENCFF714ZSE,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJI/summary/coverage.w5,32,2,mean,DNASE:GM18507,DNASE
16,0,ENCFF385ITM,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJJ/summary/coverage.w5,32,2,mean,DNASE:GM19238,DNASE
17,0,ENCFF919WIT,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJK/summary/coverage.w5,32,2,mean,DNASE:GM19239,DNASE
18,0,ENCFF814MPK,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJL/summary/coverage.w5,32,2,mean,DNASE:GM19240,DNASE
19,0,ENCFF153XQL,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJN/summary/coverage.w5,32,2,mean,DNASE:H1-hESC,DNASE
20,0,ENCFF753SCX,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJO/summary/coverage.w5,32,2,mean,DNASE:H7-hESC,DNASE
21,0,ENCFF663TLI,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJP/summary/coverage.w5,32,2,mean,DNASE:H9,DNASE
22,0,ENCFF082SFS,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJQ/summary/coverage.w5,32,2,mean,DNASE:heart male adult (27 years) and male adult (35 years),DNASE
23,0,ENCFF148BGE,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJR/summary/coverage.w5,32,2,mean,DNASE:HEK293T,DNASE
24,0,ENCFF422TAV,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJS/summary/coverage.w5,32,2,mean,DNASE:HeLa-S3 treated with interferon alpha for 4 hours,DNASE
25,0,ENCFF050BDU,/home/drk/tillage/datasets/human/dnase/encode/ENCSR000EJT/summary/coverage.w5,32,2,mean,DNASE:HeLa-S3,DNASE
